512,512,2427,3371,8
512,524,2418,3318,8
512,406,1870,2549,8
512,414,1850,2561,8
512,411,1848,3053,8
512,441,1825,2577,8
512,394,1787,2420,8
512,407,1785,2415,8
512,542,2397,3350,8
512,390,1782,2417,8
4096,2953,21091,25002,8
4096,2939,19927,23749,8
4096,2958,19452,23362,8
4096,2955,19953,23822,8
4096,2926,19776,23847,8
4096,2945,19958,23942,8
4096,2960,19793,23668,8
4096,2969,20151,24217,8
4096,2941,19856,23944,8
4096,2982,19350,23192,8
13824,10295,74018,86799,8
13824,10014,74797,87858,8
13824,10377,74779,87652,8
13824,10393,75081,88840,8
13824,10603,75620,88712,8
13824,10202,75038,88181,8
13824,10174,75681,88372,8
13824,10765,75471,88781,8
13824,10630,75705,88773,8
13824,10784,76392,89652,8
32768,26506,176311,208658,8
32768,27385,177444,210795,8
32768,27764,167978,201520,8
32768,27066,164166,196792,8
32768,27196,168572,201427,8
32768,26971,171377,203908,8
32768,27843,168274,201370,8
32768,26553,190783,223213,8
32768,25513,178273,209637,8
32768,25783,179557,211372,8
64000,48588,369415,429689,8
64000,48419,380974,440487,8
64000,48115,369571,429573,8
64000,49140,374750,435364,8
64000,49118,362495,422671,8
64000,48774,352884,413363,8
64000,48882,381707,443088,8
64000,48550,354585,413546,8
64000,48065,334101,392571,8
64000,48505,345104,404279,8
110592,76402,635361,729770,8
110592,78736,608936,705338,8
110592,77398,627582,723540,8
110592,81712,620404,720014,8
110592,75760,631152,725221,8
110592,75478,612127,705965,8
110592,83341,649079,751380,8
110592,80742,647316,748382,8
110592,74896,637561,731117,8
110592,78786,647709,745326,8
175616,143150,1100211,1279312,8
175616,137762,1133432,1300509,8
175616,120592,1364479,1521659,8
175616,116323,959647,1103736,8
175616,143274,1114713,1288483,8
175616,120168,1048500,1196481,8
175616,116608,1054100,1200487,8
175616,129285,1259165,1432749,8
175616,130497,1251407,1419334,8
175616,148126,1091767,1269119,8
262144,209495,1741954,2001598,8
262144,167344,1646823,1859764,8
262144,172525,1568850,1786377,8
262144,236889,1590150,1871746,8
262144,195238,1574256,1813726,8
262144,162159,1484223,1691853,8
262144,196252,1564494,1806230,8
262144,166359,1486610,1696280,8
262144,225593,1902045,2187172,8
262144,176887,1551556,1771229,8
373248,249317,2334115,2641155,8
373248,264964,2627037,2982975,8
373248,277603,2387999,2722510,8
373248,267349,2726073,3058513,8
373248,308888,2268773,2635854,8
373248,371897,2716704,3156199,8
373248,278021,2476307,2814439,8
373248,229292,2171909,2456511,8
373248,270575,2330505,2662361,8
373248,352225,2427595,2840836,8
512000,434421,3515575,4037421,8
512000,415581,3601110,4099991,8
512000,360496,3083015,3527902,8
512000,317861,3372844,3796125,8
512000,372279,3560267,4014588,8
512000,312538,3220979,3611027,8
512000,404931,3214155,3702970,8
512000,348680,3004601,3436426,8
512000,397682,3179112,3659028,8
512000,371357,3063495,3514790,8
681472,497709,4069126,4698971,8
681472,464382,4344351,4911827,8
681472,412195,3917302,4438888,8
681472,446220,3881791,4430705,8
681472,437952,4379061,4923011,8
681472,410405,3753682,4262082,8
681472,420771,3765791,4286118,8
681472,412179,4121756,4654308,8
681472,496338,4227884,4833343,8
681472,463390,3923260,4488560,8
884736,615067,5291380,6047150,8
884736,558839,5145421,5844373,8
884736,586818,5067617,5787618,8
884736,546860,4931186,5611232,8
884736,558859,5836984,6554554,8
884736,661470,5543441,6356559,8
884736,680878,5776707,6611762,8
884736,673569,5783826,6600456,8
884736,689400,6107349,6941995,8
884736,640918,6283724,7080845,8
1124864,855300,7336698,8382945,8
1124864,861036,7762565,8812791,8
1124864,847275,7786418,8816221,8
1124864,835970,7809080,8839091,8
1124864,754864,6362830,7287561,8
1124864,891295,6836367,7906068,8
1124864,875487,7847107,8916882,8
1124864,770379,7115825,8062325,8
1124864,783850,7261842,8280215,8
1124864,746365,7438641,8365778,8
1404928,1000504,9413088,10640665,8
1404928,1081423,9085306,10380339,8
1404928,1078260,9292712,10602630,8
1404928,1060799,9240737,10536043,8
1404928,1033461,7865661,9111825,8
1404928,883533,8736143,9849828,8
1404928,1018178,9542650,10780601,8
1404928,1069544,9341386,10626115,8
1404928,985720,8746921,9980951,8
1404928,1012168,9314825,10552629,8
1728000,1244232,11300085,12832877,8
1728000,1087053,9628005,10991375,8
1728000,1091026,9635811,10999221,8
1728000,1089999,9608299,10965204,8
1728000,1086042,9616628,10969997,8
1728000,1078449,9605092,10951140,8
1728000,1082201,9635869,10986133,8
1728000,1067031,9577999,10914806,8
1728000,1080340,9619607,10968050,8
1728000,1082436,9635218,10977381,8
2097152,1340731,11620499,13309150,8
2097152,1343225,11577877,13272187,8
2097152,1336108,11558477,13244688,8
2097152,1328260,11572676,13248254,8
2097152,1322290,11545757,13216352,8
2097152,1328888,11584242,13264222,8
2097152,1345335,11551644,13252146,8
2097152,1333753,11571436,13253767,8
2097152,1330766,11577955,13261195,8
2097152,1348325,11587425,13279256,8
