512,1354,2360,3763,8
512,1470,3076,4668,8
512,1038,1461,2524,8
512,1051,1508,2580,8
512,1135,3154,4425,8
512,1001,1153,2176,8
512,1013,1711,2752,8
512,999,1521,2543,8
512,1004,1172,2231,8
512,1014,1930,3013,8
4096,10565,10220,20859,8
4096,12072,11009,23219,8
4096,11821,10038,22180,8
4096,12277,9524,21878,8
4096,12250,11976,24319,8
4096,12390,12660,25142,8
4096,12214,10307,22603,8
4096,12348,9557,22016,8
4096,12263,10950,23291,8
4096,12076,10478,22629,8
13824,37732,29633,67502,8
13824,38222,31707,70063,8
13824,38343,32949,71410,8
13824,40476,34631,75261,8
13824,38225,29829,68170,8
13824,38669,35312,74099,8
13824,39527,32321,71967,8
13824,38882,30811,69825,8
13824,38614,31461,70211,8
13824,39548,29160,68828,8
32768,94458,75427,170141,8
32768,96153,72761,169173,8
32768,90175,70160,160543,8
32768,89458,73737,163427,8
32768,91209,76831,168255,8
32768,94724,74890,169871,8
32768,90535,74324,165153,8
32768,98920,79093,178245,8
32768,96301,74375,170949,8
32768,95940,77955,174119,8
64000,216180,150119,366712,8
64000,216182,168836,385438,8
64000,218460,147044,365970,8
64000,211249,142713,354397,8
64000,217501,151934,369850,8
64000,220174,162516,383107,8
64000,217175,148081,365705,8
64000,201143,140901,342473,8
64000,196405,148019,344849,8
64000,200999,147142,348552,8
110592,347032,250482,598247,8
110592,344136,245915,590767,8
110592,349332,250112,600251,8
110592,346825,242141,589682,8
110592,347468,253350,601542,8
110592,349431,259003,609224,8
110592,356708,260867,618312,8
110592,363857,259733,624317,8
110592,358688,271196,630608,8
110592,373233,265703,639688,8
175616,693700,399719,1094598,8
175616,606402,473962,1081450,8
175616,605048,427390,1033561,8
175616,575747,403381,980295,8
175616,629960,547344,1178378,8
175616,613864,405063,1019978,8
175616,701055,624094,1326222,8
175616,797300,607630,1406472,8
175616,665028,440383,1106508,8
175616,646738,601096,1248956,8
262144,1131420,934678,2067884,8
262144,957037,656837,1616181,8
262144,947248,661045,1609927,8
262144,949256,696553,1647393,8
262144,853913,610081,1465580,8
262144,875022,617430,1494023,8
262144,915017,644550,1561167,8
262144,848296,632271,1482149,8
262144,1196735,856181,2055118,8
262144,853967,615048,1470619,8
373248,1397057,844166,2243603,8
373248,1744970,1074855,2823035,8
373248,1481143,971098,2454510,8
373248,1461417,1112663,2576441,8
373248,1318036,918151,2238454,8
373248,1626421,913181,2541922,8
373248,1350721,901057,2254137,8
373248,1389218,846820,2238298,8
373248,1336663,901108,2240114,8
373248,1460399,1002346,2464994,8
512000,2005238,1652722,3661203,8
512000,2022867,1408980,3435036,8
512000,1881330,1175680,3060275,8
512000,2130766,1308563,3443157,8
512000,1829459,1133713,2966321,8
512000,2146436,1426160,3575771,8
512000,1845787,1162997,3011971,8
512000,1894065,1321978,3219267,8
512000,2063012,1297057,3364386,8
512000,1891147,1291502,3185838,8
681472,3002527,2132425,5139102,8
681472,2740970,1854331,4599548,8
681472,2765605,1585636,4355742,8
681472,2570244,1752785,4327310,8
681472,2489284,1832026,4325625,8
681472,2516232,1541555,4062427,8
681472,2482763,1570509,4057521,8
681472,2837539,1673331,4515241,8
681472,3126809,1656011,4787292,8
681472,2475960,1572162,4052372,8
884736,3405806,2178220,5589476,8
884736,3273803,2046942,5326257,8
884736,3574104,2182830,5762441,8
884736,3333646,2133138,5472299,8
884736,3837886,2220289,6063717,8
884736,3704853,2737725,6448057,8
884736,3741619,2423258,6170349,8
884736,3657929,2301863,5965299,8
884736,3932372,2617533,6555496,8
884736,3978253,2361947,6345988,8
1124864,5218336,3047621,8273083,8
1124864,5106849,3352401,8466675,8
1124864,4759434,3245575,8012021,8
1124864,5280691,3442315,8730940,8
1124864,4289419,3346236,7642685,8
1124864,4719013,3351125,8077152,8
1124864,5291093,2881683,8179996,8
1124864,4502855,2671313,7181148,8
1124864,5449830,3467175,8925698,8
1124864,4713224,2802345,7522684,8
1404928,6372742,4061082,10442455,8
1404928,6144069,3247748,9400411,8
1404928,6256186,3981584,10246487,8
1404928,6239257,3578445,9826979,8
1404928,6093955,3833632,9936210,8
1404928,6185749,3979341,10173578,8
1404928,5814474,3316615,9139947,8
1404928,6252480,3962996,10224098,8
1404928,6096495,4337342,10442427,8
1404928,5988687,4185044,10181973,8
1728000,7508049,5371032,12889815,8
1728000,6459433,4006005,10475850,8
1728000,6578987,3926359,10515875,8
1728000,6573830,3952729,10537141,8
1728000,6573754,3961775,10546094,8
1728000,6584666,3928223,10523503,8
1728000,6551161,3914596,10476463,8
1728000,6570968,3950831,10532356,8
1728000,6573555,3947258,10531406,8
1728000,6591389,3949632,10551683,8
2097152,8026709,4836042,12875441,8
2097152,7988182,4777849,12778712,8
2097152,8018843,4778200,12809781,8
2097152,8034367,4813081,12860173,8
2097152,8007935,4756331,12776938,8
2097152,7991702,4736537,12740926,8
2097152,8014347,4777497,12804501,8
2097152,8026221,4763871,12802850,8
2097152,8021438,4814910,12848980,8
2097152,8131643,4840365,12984757,8
