0,0
0.001,0.01
0.002,0.02
0.003,0.03
0.004,0.0399999
0.005,0.0499998
0.006,0.0599996
0.007,0.0699994
0.008,0.0799991
0.009,0.0899988
0.01,0.0999983
0.011,0.109998
0.012,0.119997
0.013,0.129996
0.014,0.139995
0.015,0.149994
0.016,0.159993
0.017,0.169992
0.018,0.17999
0.019,0.189989
0.02,0.199987
0.021,0.209985
0.022,0.219982
0.023,0.22998
0.024,0.239977
0.025,0.249974
0.026,0.259971
0.027,0.269967
0.028,0.279963
0.029,0.289959
0.03,0.299955
0.031,0.30995
0.032,0.319945
0.033,0.32994
0.034,0.339934
0.035,0.349929
0.036,0.359922
0.037,0.369916
0.038,0.379909
0.039,0.389901
0.04,0.399893
0.041,0.409885
0.042,0.419877
0.043,0.429868
0.044,0.439858
0.045,0.449848
0.046,0.459838
0.047,0.469827
0.048,0.479816
0.049,0.489804
0.05,0.499792
0.051,0.509779
0.052,0.519766
0.053,0.529752
0.054,0.539738
0.055,0.549723
0.056,0.559707
0.057,0.569691
0.058,0.579675
0.059,0.589658
0.06,0.59964
0.061,0.609622
0.062,0.619603
0.063,0.629583
0.064,0.639563
0.065,0.649542
0.066,0.659521
0.067,0.669499
0.068,0.679476
0.069,0.689453
0.07,0.699428
0.071,0.709404
0.072,0.719378
0.073,0.729352
0.074,0.739325
0.075,0.749297
0.076,0.759269
0.077,0.769239
0.078,0.779209
0.079,0.789179
0.08,0.799147
0.081,0.809115
0.082,0.819081
0.083,0.829047
0.084,0.839013
0.085,0.848977
0.086,0.85894
0.087,0.868903
0.088,0.878865
0.089,0.888826
0.09,0.898785
0.091,0.908745
0.092,0.918703
0.093,0.92866
0.094,0.938616
0.095,0.948572
0.096,0.958526
0.097,0.96848
0.098,0.978432
0.099,0.988384
0.1,0.998334
0.101,1.00828
0.102,1.01823
0.103,1.02818
0.104,1.03813
0.105,1.04807
0.106,1.05802
0.107,1.06796
0.108,1.0779
0.109,1.08784
0.11,1.09778
0.111,1.10772
0.112,1.11766
0.113,1.1276
0.114,1.13753
0.115,1.14747
0.116,1.1574
0.117,1.16733
0.118,1.17726
0.119,1.18719
0.12,1.19712
0.121,1.20705
0.122,1.21698
0.123,1.2269
0.124,1.23682
0.125,1.24675
0.126,1.25667
0.127,1.26659
0.128,1.27651
0.129,1.28643
0.13,1.29634
0.131,1.30626
0.132,1.31617
0.133,1.32608
0.134,1.33599
0.135,1.3459
0.136,1.35581
0.137,1.36572
0.138,1.37563
0.139,1.38553
0.14,1.39543
0.141,1.40533
0.142,1.41523
0.143,1.42513
0.144,1.43503
0.145,1.44493
0.146,1.45482
0.147,1.46471
0.148,1.4746
0.149,1.4845
0.15,1.49438
0.151,1.50427
0.152,1.51416
0.153,1.52404
0.154,1.53392
0.155,1.5438
0.156,1.55368
0.157,1.56356
0.158,1.57344
0.159,1.58331
0.16,1.59319
0.161,1.60306
0.162,1.61293
0.163,1.6228
0.164,1.63266
0.165,1.64253
0.166,1.65239
0.167,1.66225
0.168,1.67211
0.169,1.68197
0.17,1.69183
0.171,1.70168
0.172,1.71154
0.173,1.72139
0.174,1.73124
0.175,1.74109
0.176,1.75093
0.177,1.76078
0.178,1.77062
0.179,1.78046
0.18,1.7903
0.181,1.80014
0.182,1.80998
0.183,1.81981
0.184,1.82964
0.185,1.83947
0.186,1.8493
0.187,1.85913
0.188,1.86895
0.189,1.87877
0.19,1.8886
0.191,1.89842
0.192,1.90823
0.193,1.91805
0.194,1.92786
0.195,1.93767
0.196,1.94748
0.197,1.95729
0.198,1.9671
0.199,1.9769
0.2,1.9867
0.201,1.9965
0.202,2.0063
0.203,2.01609
0.204,2.02589
0.205,2.03568
0.206,2.04547
0.207,2.05526
0.208,2.06504
0.209,2.07483
0.21,2.08461
0.211,2.09439
0.212,2.10416
0.213,2.11394
0.214,2.12371
0.215,2.13348
0.216,2.14325
0.217,2.15302
0.218,2.16278
0.219,2.17255
0.22,2.18231
0.221,2.19206
0.222,2.20182
0.223,2.21157
0.224,2.22132
0.225,2.23107
0.226,2.24082
0.227,2.25056
0.228,2.26031
0.229,2.27005
0.23,2.27978
0.231,2.28952
0.232,2.29925
0.233,2.30898
0.234,2.31871
0.235,2.32844
0.236,2.33816
0.237,2.34788
0.238,2.3576
0.239,2.36732
0.24,2.37704
0.241,2.38675
0.242,2.39646
0.243,2.40617
0.244,2.41587
0.245,2.42557
0.246,2.43527
0.247,2.44497
0.248,2.45467
0.249,2.46436
0.25,2.47405
0.251,2.48374
0.252,2.49342
0.253,2.5031
0.254,2.51279
0.255,2.52246
0.256,2.53214
0.257,2.54181
0.258,2.55148
0.259,2.56115
0.26,2.57081
0.261,2.58048
