0,1,1,1
0.01,1.01257,1.25992,0.984891
0.02,1.04882,1.524,0.973114
0.03,1.10721,1.79831,0.965158
0.04,1.18687,2.08855,0.961736
0.05,1.28756,2.40016,0.963805
0.06,1.40957,2.73855,0.972608
0.07,1.55369,3.10916,0.989731
0.08,1.72115,3.51758,1.01719
0.09,1.9136,3.96962,1.05751
0.1,2.13311,4.47142,1.1139
0.11,2.38215,5.02943,1.19035
0.12,2.66358,5.65045,1.29189
0.13,2.98067,6.34163,1.42479
0.14,3.33705,7.11035,1.59684
0.15,3.73672,7.96408,1.81776
0.16,4.18401,8.91016,2.0995
0.17,4.68352,9.95536,2.4568
0.18,5.23998,11.1053,2.90756
0.19,5.85815,12.3637,3.47343
0.2,6.54253,13.7312,4.18019
0.21,7.29705,15.2036,5.05803
0.22,8.12456,16.7704,6.14147
0.23,9.02623,18.4117,7.46879
0.24,10.0007,20.0956,9.08055
0.25,11.0428,21.7754,11.0168
0.26,12.143,23.3861,13.3125
0.27,13.285,24.8431,15.9915
0.28,14.4454,26.0423,19.0574
0.29,15.5922,26.8642,22.4842
0.3,16.6848,27.1835,26.2065
0.31,17.6747,26.8836,30.1123
0.32,18.5082,25.877,34.0438
0.33,19.1306,24.1271,37.8061
0.34,19.4924,21.6657,41.1889
0.35,19.5551,18.6002,43.996
0.36,19.2977,15.105,46.0777
0.37,18.7202,11.3973,47.3559
0.38,17.8436,7.70354,47.834
0.39,16.708,4.22502,47.5907
0.4,15.3662,1.11306,46.7579
0.41,13.8776,-1.5423,45.4931
0.42,12.3015,-3.70968,43.9537
0.43,10.6922,-5.40465,42.2777
0.44,9.09585,-6.67406,40.5741
0.45,7.54867,-7.5811,38.9205
0.46,6.07718,-8.19359,37.3661
0.47,4.69905,-8.57606,35.9374
0.48,3.42446,-8.78553,34.6445
0.49,2.25762,-8.86976,33.4863
0.5,1.19828,-8.8672,32.4547
0.51,0.242939,-8.80791,31.5387
0.52,-0.614052,-8.71482,30.7256
0.53,-1.37971,-8.605,30.003
0.54,-2.06176,-8.49096,29.3593
0.55,-2.66822,-8.38161,28.7841
0.56,-3.20706,-8.28317,28.2687
0.57,-3.68595,-8.19981,27.8055
0.58,-4.11218,-8.13418,27.3883
0.59,-4.49252,-8.08778,27.0123
0.6,-4.83321,-8.06129,26.6732
0.61,-5.13993,-8.05474,26.368
0.62,-5.41779,-8.06776,26.0942
0.63,-5.67136,-8.0996,25.85
0.64,-5.90471,-8.14928,25.6339
0.65,-6.12139,-8.21562,25.4449
0.66,-6.32451,-8.29732,25.2824
0.67,-6.51677,-8.39293,25.1459
0.68,-6.70045,-8.50092,25.0351
0.69,-6.87745,-8.61967,24.9499
0.7,-7.04936,-8.74749,24.8901
0.71,-7.21744,-8.88258,24.8557
0.72,-7.38266,-9.02308,24.8466
0.73,-7.54571,-9.16707,24.8628
0.74,-7.70704,-9.31251,24.904
0.75,-7.86684,-9.45733,24.9699
0.76,-8.0251,-9.59939,25.06
0.77,-8.18159,-9.73648,25.1738
0.78,-8.33591,-9.86637,25.3103
0.79,-8.48746,-9.98683,25.4684
0.8,-8.63551,-10.0956,25.6467
0.81,-8.77917,-10.1906,25.8436
0.82,-8.91745,-10.2698,26.057
0.83,-9.04926,-10.3312,26.2847
0.84,-9.17344,-10.3731,26.524
0.85,-9.28879,-10.3941,26.7722
0.86,-9.39409,-10.393,27.0261
0.87,-9.48817,-10.369,27.2823
0.88,-9.56989,-10.3217,27.5375
0.89,-9.63821,-10.2512,27.788
