1.75,1.9883,-0.00673226
1.76,1.98823,-0.00673265
1.77,1.98816,-0.00673303
1.78,1.9881,-0.00673341
1.79,1.98803,-0.00673379
1.8,1.98796,-0.00673418
1.81,1.98789,-0.00673456
1.82,1.98783,-0.00673494
1.83,1.98776,-0.00673532
1.84,1.98769,-0.00673571
1.85,1.98763,-0.00673609
1.86,1.98756,-0.00673647
1.87,1.98749,-0.00673686
1.88,1.98742,-0.00673724
1.89,1.98736,-0.00673762
1.9,1.98729,-0.00673801
1.91,1.98722,-0.00673839
1.92,1.98715,-0.00673877
1.93,1.98709,-0.00673916
1.94,1.98702,-0.00673954
1.95,1.98695,-0.00673992
1.96,1.98688,-0.00674031
1.97,1.98682,-0.00674069
1.98,1.98675,-0.00674107
1.99,1.98668,-0.00674146
2,1.98661,-0.00674184
2.01,1.98655,-0.00674223
2.02,1.98648,-0.00674261
2.03,1.98641,-0.006743
2.04,1.98634,-0.00674338
2.05,1.98628,-0.00674376
2.06,1.98621,-0.00674415
2.07,1.98614,-0.00674453
2.08,1.98607,-0.00674492
2.09,1.98601,-0.0067453
2.1,1.98594,-0.00674569
2.11,1.98587,-0.00674607
2.12,1.98581,-0.00674646
2.13,1.98574,-0.00674684
2.14,1.98567,-0.00674723
2.15,1.9856,-0.00674761
2.16,1.98554,-0.006748
2.17,1.98547,-0.00674838
2.18,1.9854,-0.00674877
2.19,1.98533,-0.00674915
2.2,1.98527,-0.00674954
2.21,1.9852,-0.00674992
2.22,1.98513,-0.00675031
2.23,1.98506,-0.0067507
2.24,1.985,-0.00675108
2.25,1.98493,-0.00675147
2.26,1.98486,-0.00675185
2.27,1.98479,-0.00675224
2.28,1.98473,-0.00675262
2.29,1.98466,-0.00675301
2.3,1.98459,-0.0067534
2.31,1.98452,-0.00675378
2.32,1.98446,-0.00675417
2.33,1.98439,-0.00675456
2.34,1.98432,-0.00675494
2.35,1.98425,-0.00675533
2.36,1.98418,-0.00675572
2.37,1.98412,-0.0067561
2.38,1.98405,-0.00675649
2.39,1.98398,-0.00675688
2.4,1.98391,-0.00675726
2.41,1.98385,-0.00675765
2.42,1.98378,-0.00675804
2.43,1.98371,-0.00675842
2.44,1.98364,-0.00675881
2.45,1.98358,-0.0067592
2.46,1.98351,-0.00675959
2.47,1.98344,-0.00675997
2.48,1.98337,-0.00676036
2.49,1.98331,-0.00676075
2.5,1.98324,-0.00676114
2.51,1.98317,-0.00676152
2.52,1.9831,-0.00676191
2.53,1.98304,-0.0067623
2.54,1.98297,-0.00676269
2.55,1.9829,-0.00676307
2.56,1.98283,-0.00676346
2.57,1.98277,-0.00676385
2.58,1.9827,-0.00676424
2.59,1.98263,-0.00676463
2.6,1.98256,-0.00676502
2.61,1.98249,-0.0067654
2.62,1.98243,-0.00676579
2.63,1.98236,-0.00676618
2.64,1.98229,-0.00676657
2.65,1.98222,-0.00676696
2.66,1.98216,-0.00676735
2.67,1.98209,-0.00676774
2.68,1.98202,-0.00676812
2.69,1.98195,-0.00676851
2.7,1.98189,-0.0067689
2.71,1.98182,-0.00676929
2.72,1.98175,-0.00676968
2.73,1.98168,-0.00677007
2.74,1.98161,-0.00677046
2.75,1.98155,-0.00677085
2.76,1.98148,-0.00677124
2.77,1.98141,-0.00677163
2.78,1.98134,-0.00677202
2.79,1.98128,-0.00677241
2.8,1.98121,-0.0067728
2.81,1.98114,-0.00677319
2.82,1.98107,-0.00677358
2.83,1.98101,-0.00677397
2.84,1.98094,-0.00677436
2.85,1.98087,-0.00677475
2.86,1.9808,-0.00677514
2.87,1.98073,-0.00677553
2.88,1.98067,-0.00677592
2.89,1.9806,-0.00677631
2.9,1.98053,-0.0067767
2.91,1.98046,-0.00677709
2.92,1.9804,-0.00677748
2.93,1.98033,-0.00677787
2.94,1.98026,-0.00677826
2.95,1.98019,-0.00677865
2.96,1.98012,-0.00677904
2.97,1.98006,-0.00677943
2.98,1.97999,-0.00677983
2.99,1.97992,-0.00678022
3,1.97985,-0.00678061
3.01,1.97979,-0.006781
3.02,1.97972,-0.00678139
3.03,1.97965,-0.00678178
3.04,1.97958,-0.00678217
3.05,1.97951,-0.00678256
3.06,1.97945,-0.00678296
3.07,1.97938,-0.00678335
3.08,1.97931,-0.00678374
3.09,1.97924,-0.00678413
3.1,1.97918,-0.00678452
3.11,1.97911,-0.00678492
3.12,1.97904,-0.00678531
3.13,1.97897,-0.0067857
3.14,1.9789,-0.00678609
3.15,1.97884,-0.00678648
3.16,1.97877,-0.00678688
3.17,1.9787,-0.00678727
3.18,1.97863,-0.00678766
3.19,1.97856,-0.00678805
3.2,1.9785,-0.00678845
3.21,1.97843,-0.00678884
3.22,1.97836,-0.00678923
3.23,1.97829,-0.00678963
3.24,1.97822,-0.00679002
3.25,1.97816,-0.00679041
3.26,1.97809,-0.0067908
3.27,1.97802,-0.0067912
3.28,1.97795,-0.00679159
3.29,1.97789,-0.00679198
3.3,1.97782,-0.00679238
3.31,1.97775,-0.00679277
3.32,1.97768,-0.00679317
3.33,1.97761,-0.00679356
3.34,1.97755,-0.00679395
3.35,1.97748,-0.00679435
3.36,1.97741,-0.00679474
3.37,1.97734,-0.00679513
3.38,1.97727,-0.00679553
3.39,1.97721,-0.00679592
3.4,1.97714,-0.00679632
3.41,1.97707,-0.00679671
3.42,1.977,-0.0067971
3.43,1.97693,-0.0067975
3.44,1.97687,-0.00679789
3.45,1.9768,-0.00679829
3.46,1.97673,-0.00679868
3.47,1.97666,-0.00679908
3.48,1.97659,-0.00679947
3.49,1.97653,-0.00679987
3.5,1.97646,-0.00680026
3.51,1.97639,-0.00680066
3.52,1.97632,-0.00680105
3.53,1.97625,-0.00680145
3.54,1.97619,-0.00680184
3.55,1.97612,-0.00680224
3.56,1.97605,-0.00680263
3.57,1.97598,-0.00680303
3.58,1.97591,-0.00680342
3.59,1.97585,-0.00680382
3.6,1.97578,-0.00680421
3.61,1.97571,-0.00680461
3.62,1.97564,-0.00680501
3.63,1.97557,-0.0068054
3.64,1.97551,-0.0068058
3.65,1.97544,-0.00680619
3.66,1.97537,-0.00680659
3.67,1.9753,-0.00680699
3.68,1.97523,-0.00680738
3.69,1.97517,-0.00680778
3.7,1.9751,-0.00680817
3.71,1.97503,-0.00680857
3.72,1.97496,-0.00680897
3.73,1.97489,-0.00680936
3.74,1.97482,-0.00680976
3.75,1.97476,-0.00681016
3.76,1.97469,-0.00681055
3.77,1.97462,-0.00681095
3.78,1.97455,-0.00681135
3.79,1.97448,-0.00681175
