1	 3.30632e-10, 0, 0, 0
2	 2.63324e-10, 0, 0, 0
3	 2.13296e-10, 0, 0, 0
4	 1.753e-10, 0, 0, 0
5	 1.459e-10, 0, 0, 0
6	 1.22779e-10, 0, 0, 0
7	 1.04338e-10, 0, 0, 0
8	 8.94407e-11, 0, 0, 0
9	 7.72714e-11, 0, 0, 0
10	 6.72294e-11, 0, 0, 0
11	 5.88669e-11, 0, 0, 0
12	 5.1845e-11, 0, 0, 0
13	 4.59043e-11, 0, 0, 0
14	 4.08433e-11, 0, 0, 0
15	 3.65043e-11, 0, 0, 0
16	 3.27623e-11, 0, 0, 0
17	 2.95177e-11, 0, 0, 0
18	 2.66902e-11, 0, 0, 0
19	 2.42145e-11, 0, 0, 0
20	 2.20374e-11, 0, 0, 0
21	 2.01149e-11, 0, 0, 0
22	 1.84108e-11, 0, 0, 0
23	 1.68949e-11, 0, 0, 0
24	 1.55416e-11, 0, 0, 0
25	 1.43298e-11, 0, 0, 0
26	 1.32413e-11, 0, 0, 0
27	 1.22608e-11, 0, 0, 0
28	 1.13752e-11, 0, 0, 0
29	 1.05732e-11, 0, 0, 0
30	 9.8452e-12, 0, 0, 0
31	 9.18277e-12, 0, 0, 0
32	 8.5787e-12, 0, 0, 0
33	 8.02667e-12, 0, 0, 0
34	 7.52118e-12, 0, 0, 0
35	 7.05742e-12, 0, 0, 0
36	 6.63115e-12, 0, 0, 0
37	 6.23866e-12, 0, 0, 0
38	 5.87664e-12, 0, 0, 0
39	 5.5422e-12, 0, 0, 0
40	 5.23274e-12, 0, 0, 0
41	 4.94598e-12, 0, 0, 0
42	 4.67986e-12, 0, 0, 0
43	 4.43255e-12, 0, 0, 0
44	 4.20242e-12, 0, 0, 0
45	 3.988e-12, 0, 0, 0
46	 3.78797e-12, 0, 0, 0
47	 3.60113e-12, 0, 0, 0
48	 3.42642e-12, 0, 0, 0
49	 3.26286e-12, 0, 0, 0
50	 3.10957e-12, 0, 0, 0
51	 2.96577e-12, 0, 0, 0
52	 2.83072e-12, 0, 0, 0
53	 2.70377e-12, 0, 0, 0
54	 2.58432e-12, 0, 0, 0
55	 2.47183e-12, 0, 0, 0
56	 2.36578e-12, 0, 0, 0
57	 2.26573e-12, 0, 0, 0
58	 2.17126e-12, 0, 0, 0
59	 2.08198e-12, 0, 0, 0
60	 1.99754e-12, 0, 0, 0
61	 1.91762e-12, 0, 0, 0
62	 1.84192e-12, 0, 0, 0
63	 1.77015e-12, 0, 0, 0
64	 1.70208e-12, 0, 0, 0
65	 1.63746e-12, 0, 0, 0
66	 1.57608e-12, 0, 0, 0
67	 1.51773e-12, 0, 0, 0
68	 1.46224e-12, 0, 0, 0
69	 1.40942e-12, 0, 0, 0
70	 1.35913e-12, 0, 0, 0
71	 1.3112e-12, 0, 0, 0
72	 1.26551e-12, 0, 0, 0
73	 1.22192e-12, 0, 0, 0
74	 1.18031e-12, 0, 0, 0
75	 1.14057e-12, 0, 0, 0
76	 1.1026e-12, 0, 0, 0
77	 1.0663e-12, 0, 0, 0
78	 1.03159e-12, 0, 0, 0
79	 9.9836e-13, 0, 0, 0
80	 9.66549e-13, 0, 0, 0
81	 9.36078e-13, 0, 0, 0
82	 9.06877e-13, 0, 0, 0
83	 8.7888e-13, 0, 0, 0
84	 8.52026e-13, 0, 0, 0
85	 8.26257e-13, 0, 0, 0
86	 8.01519e-13, 0, 0, 0
87	 7.7776e-13, 0, 0, 0
88	 7.54933e-13, 0, 0, 0
89	 7.32991e-13, 0, 0, 0
90	 7.11894e-13, 0, 0, 0
91	 6.916e-13, 0, 0, 0
92	 6.72071e-13, 0, 0, 0
93	 6.53272e-13, 0, 0, 0
94	 6.35169e-13, 0, 0, 0
95	 6.17729e-13, 0, 0, 0
96	 6.00924e-13, 0, 0, 0
97	 5.84723e-13, 0, 0, 0
98	 5.69101e-13, 0, 0, 0
99	 5.54031e-13, 0, 0, 0
100	 5.39489e-13, 0, 0, 0
